room_id,room_name,room_type,area_sqft,area_sqm,department,capacity,sensors_present
201,CLASSROOM,CLASSROOM,736.8,68.45,SELECT,70,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
202,INDUSTRIAL AUTOMATION LAB,UG_LAB,697.94,64.84,SELECT,35,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
203,NETWORKING LAB,UG_LAB,725.82,67.43,SAS,35,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
204,CLASSROOM,CLASSROOM,690.83,64.18,SELECT,70,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
205,CLASSROOM,CLASSROOM,726.03,67.45,SENSE,70,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
206,CLASSROOM,CLASSROOM,704.83,65.48,SENSE,70,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
207,CLASSROOM,CLASSROOM,697.94,64.84,SENSE,70,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
208,CLASSROOM,CLASSROOM,726.03,67.45,SENSE,70,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
209,MATERIAL CHEMISTRY LAB,UG_LAB,523.78,48.66,SAS,35,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
210,NATURAL PRODUCT RESEARCH LAB,RESEARCH_LAB,778.56,72.33,SAS,10,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
211,MTECH PHARMA CHEM & ELECTROCHEM & XRD LAB,RESEARCH_LAB,789.54,73.35,SAS,10,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
212,STAFF ROOM,STAFF_ROOM,129.17,12.0,SAS,10,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
213,ORGANIC POLYMERS RESEARCH LAB,RESEARCH_LAB,686.1,63.74,SAS,10,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
214,MSc ORGANIC CHEMISTRY & RESEARCH LAB,RESEARCH_LAB,683.84,63.53,SAS,10,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
215-216,CENTRE FOR ORGANIC & MEDICINAL LAB,RESEARCH_LAB,682.98,63.45,SAS,10,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
217,ANALYTICAL CHEMISTRY RESEARCH LAB,RESEARCH_LAB,1057.56,98.25,SAS,10,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
218,STAFF ROOM,STAFF_ROOM,129.17,12.0,NONE,10,Occupancy|Temperature|Humidity|AirQuality|Energy|Light
219,GENTS TOILET,TOILET,640.46,59.5,NONE,15,Occupancy|AirQuality|Energy|Light
220,ELECTRICAL ROOM,ELECTRICAL_ROOM,86.11,8.0,NONE,3,Temperature|Energy|Occupancy
